i,j
29871,2245
30031,2245
30501,2245
30513,2245
31180,2245
31706,2245
31935,2245
475,2246
3034,2246
13441,2246
14808,2246
22031,2246
23432,2246
26352,2246
30611,2246
83,2247
23482,2247
28507,2247
31763,2247
573,2248
6341,2248
6469,2248
7117,2248
8541,2248
8894,2248
9521,2248
15535,2248
16798,2248
17526,2248
22709,2248
24483,2248
25657,2248
26482,2248
27607,2248
30412,2248
32094,2248
1330,2249
1261,2250
1813,2250
6360,2250
21224,2250
21672,2250
1638,2251
4436,2251
1135,2252
1824,2252
7631,2252
9856,2252
11474,2252
13693,2252
13834,2252
17854,2252
18325,2252
19213,2252
27128,2252
29011,2252
21545,2253
22963,2253
29,2254
1735,2254
10194,2254
6923,2255
9164,2255
12914,2255
76,2256
2218,2256
4189,2256
4366,2256
5156,2256
12127,2256
14830,2256
15372,2256
23415,2256
23714,2256
24158,2256
26698,2256
27189,2256
989,2257
1926,2257
6237,2257
6283,2257
6872,2257
11449,2257
13542,2257
14331,2257
18020,2257
20547,2257
21050,2257
23212,2257
25380,2257
27199,2257
27977,2257
29782,2257
29842,2257
246,2258
409,2258
1129,2258
1250,2258
1463,2258
1475,2258
1477,2258
1542,2258
1801,2258
1885,2258
2116,2258
2876,2258
3020,2258
3622,2258
6402,2258
9835,2258
11598,2258
12009,2258
17605,2258
17864,2258
19553,2258
20232,2258
20672,2258
21480,2258
23159,2258
23875,2258
31024,2258
31146,2258
438,2259
1279,2259
1327,2259
2263,2260
2309,2260
2311,2260
2322,2260
2326,2260
2337,2260
2409,2260
2431,2260
2476,2260
2486,2260
2491,2260
2507,2260
2518,2260
2519,2260
2546,2260
2565,2260
2630,2260
2638,2260
2641,2260
2648,2260
2655,2260
2658,2260
2687,2260
2690,2260
2722,2260
2756,2260
2762,2260
2769,2260
2828,2260
2843,2260
2891,2260
2900,2260
2938,2260
2962,2260
2976,2260
3013,2260
3060,2260
3064,2260
3086,2260
3099,2260
3125,2260
3267,2260
3271,2260
3282,2260
3284,2260
3299,2260
3341,2260
3343,2260
3344,2260
3353,2260
3379,2260
3384,2260
3423,2260
3431,2260
3445,2260
3447,2260
3452,2260
3484,2260
3494,2260
3498,2260
3539,2260
3556,2260
3600,2260
3640,2260
3666,2260
3694,2260
3758,2260
3817,2260
3830,2260
3848,2260
3884,2260
3924,2260
3927,2260
3939,2260
3973,2260
3984,2260
4000,2260
4012,2260
4013,2260
4089,2260
4192,2260
4197,2260
4230,2260
4332,2260
4350,2260
4378,2260
4423,2260
4442,2260
4514,2260
4526,2260
4530,2260
4561,2260
4574,2260
4635,2260
4639,2260
4640,2260
4643,2260
4658,2260
4694,2260
4706,2260
4753,2260
4785,2260
4867,2260
4890,2260
4957,2260
4970,2260
4981,2260
5004,2260
5011,2260
5012,2260
5016,2260
5018,2260
5035,2260
5098,2260
5140,2260
5176,2260
5180,2260
5202,2260
5219,2260
5234,2260
5274,2260
5316,2260
5331,2260
5336,2260
5402,2260
5411,2260
5432,2260
5443,2260
5455,2260
5480,2260
5536,2260
5587,2260
5598,2260
5614,2260
5636,2260
5655,2260
5658,2260
5682,2260
5683,2260
5718,2260
5726,2260
5729,2260
5757,2260
5768,2260
5782,2260
5804,2260
5813,2260
5841,2260
5876,2260
5926,2260
5982,2260
5983,2260
5995,2260
6003,2260
6020,2260
6031,2260
6038,2260
6046,2260
6050,2260
6068,2260
6086,2260
6118,2260
6129,2260
6156,2260
6175,2260
6260,2260
6261,2260
6291,2260
6294,2260
6359,2260
6388,2260
6409,2260
6466,2260
6467,2260
6476,2260
6493,2260
6557,2260
6583,2260
6587,2260
6625,2260
6637,2260
6659,2260
6664,2260
6692,2260
6712,2260
6731,2260
6733,2260
6763,2260
6784,2260
6847,2260
6871,2260
6878,2260
6883,2260
6902,2260
6924,2260
6937,2260
6940,2260
6945,2260
6955,2260
6974,2260
6986,2260
6996,2260
7017,2260
7024,2260
7050,2260
7089,2260
7100,2260
7130,2260
7133,2260
7147,2260
7150,2260
7181,2260
7195,2260
7211,2260
7230,2260
7240,2260
7301,2260
7304,2260
7316,2260
7318,2260
7367,2260
7381,2260
7422,2260
7546,2260
7601,2260
7619,2260
7646,2260
7649,2260
7669,2260
7760,2260
7794,2260
7816,2260
7869,2260
7873,2260
7881,2260
7909,2260
7946,2260
7956,2260
8028,2260
8032,2260
8092,2260
8097,2260
8101,2260
8104,2260
8133,2260
8134,2260
8139,2260
8178,2260
8180,2260
8188,2260
8203,2260
8215,2260
8233,2260
8253,2260
8256,2260
8267,2260
8274,2260
8275,2260
8285,2260
8298,2260
8304,2260
8330,2260
8333,2260
8379,2260
8384,2260
8387,2260
8409,2260
8415,2260
8465,2260
8474,2260
8514,2260
8545,2260
8579,2260
8599,2260
8663,2260
8766,2260
8769,2260
8779,2260
8784,2260
8805,2260
8811,2260
8832,2260
8838,2260
8841,2260
8867,2260
8916,2260
8959,2260
9024,2260
9045,2260
9093,2260
9098,2260
9121,2260
9160,2260
9168,2260
9187,2260
9207,2260
9240,2260
9243,2260
9291,2260
9316,2260
9334,2260
9343,2260
9344,2260
9345,2260
9419,2260
9448,2260
9473,2260
9474,2260
9497,2260
9498,2260
9502,2260
9510,2260
9532,2260
9535,2260
9553,2260
9593,2260
9636,2260
9644,2260
9675,2260
9678,2260
9720,2260
9840,2260
9862,2260
9920,2260
9941,2260
9985,2260
10020,2260
10038,2260
10067,2260
10122,2260
10133,2260
10191,2260
10206,2260
10352,2260
10407,2260
10416,2260
10442,2260
10443,2260
10448,2260
10449,2260
10459,2260
10475,2260
10479,2260
10487,2260
10501,2260
10562,2260
10587,2260
10593,2260
10640,2260
10689,2260
10720,2260
10752,2260
10803,2260
10824,2260
10877,2260
10878,2260
10882,2260
10899,2260
10943,2260
10959,2260
10994,2260
11003,2260
11012,2260
11039,2260
11055,2260
11063,2260
11069,2260
11096,2260
11100,2260
11117,2260
11120,2260
11138,2260
11139,2260
11170,2260
11171,2260
11195,2260
11236,2260
11291,2260
11312,2260
11332,2260
11380,2260
11385,2260
11444,2260
11451,2260
11481,2260
11482,2260
11484,2260
11496,2260
11498,2260
11501,2260
11565,2260
11592,2260
11686,2260
11689,2260
11711,2260
11752,2260
11761,2260
11812,2260
11816,2260
11836,2260
11861,2260
11877,2260
11886,2260
11969,2260
12007,2260
12039,2260
12047,2260
12145,2260
12180,2260
12181,2260
12193,2260
12217,2260
12236,2260
12244,2260
12267,2260
12321,2260
12337,2260
12398,2260
12400,2260
12470,2260
12481,2260
12523,2260
12555,2260
12613,2260
12711,2260
12725,2260
12784,2260
12807,2260
12841,2260
12846,2260
12853,2260
12938,2260
12954,2260
12969,2260
12988,2260
13025,2260
13054,2260
13088,2260
13099,2260
13108,2260
13112,2260
13129,2260
13164,2260
13180,2260
13184,2260
13211,2260
13241,2260
13243,2260
13256,2260
13332,2260
13403,2260
13406,2260
13421,2260
13437,2260
13466,2260
13743,2260
13766,2260
13806,2260
13818,2260
13824,2260
13894,2260
13925,2260
14000,2260
14011,2260
14057,2260
14060,2260
14090,2260
14123,2260
14155,2260
14157,2260
14191,2260
14204,2260
14216,2260
14270,2260
14273,2260
14281,2260
14282,2260
14301,2260
14325,2260
14335,2260
14336,2260
14339,2260
14342,2260
14365,2260
14380,2260
14419,2260
14421,2260
14454,2260
14465,2260
14490,2260
14506,2260
14520,2260
14547,2260
14574,2260
14645,2260
14676,2260
14866,2260
14879,2260
14882,2260
14900,2260
14911,2260
14922,2260
14969,2260
14981,2260
14995,2260
14999,2260
15009,2260
15016,2260
15032,2260
15070,2260
15092,2260
15121,2260
15129,2260
15142,2260
15146,2260
15196,2260
15200,2260
15207,2260
15217,2260
15340,2260
15428,2260
15444,2260
15448,2260
15480,2260
15513,2260
15518,2260
15600,2260
15622,2260
15644,2260
15672,2260
15728,2260
15752,2260
15775,2260
15827,2260
15903,2260
15958,2260
15975,2260
16138,2260
16215,2260
16328,2260
16350,2260
16358,2260
16364,2260
16381,2260
16477,2260
16522,2260
16525,2260
16555,2260
16564,2260
16566,2260
16634,2260
16635,2260
16647,2260
16695,2260
16715,2260
16724,2260
16731,2260
16817,2260
16853,2260
16882,2260
16918,2260
16934,2260
16937,2260
16939,2260
16985,2260
17026,2260
17088,2260
17099,2260
17156,2260
17181,2260
17186,2260
17214,2260
17259,2260
17272,2260
17279,2260
17308,2260
17321,2260
17360,2260
17363,2260
17369,2260
17420,2260
17436,2260
17450,2260
17465,2260
17572,2260
17578,2260
17589,2260
17612,2260
17736,2260
17838,2260
17848,2260
17856,2260
17889,2260
17909,2260
17976,2260
17979,2260
18085,2260
18095,2260
18104,2260
18108,2260
18110,2260
18178,2260
18198,2260
18205,2260
18218,2260
18248,2260
18282,2260
18299,2260
18323,2260
18331,2260
18345,2260
18355,2260
18367,2260
18423,2260
18454,2260
18459,2260
18460,2260
18474,2260
18498,2260
18502,2260
18503,2260
18521,2260
18537,2260
18587,2260
18616,2260
18618,2260
18645,2260
18679,2260
18681,2260
18683,2260
18748,2260
18752,2260
18765,2260
18766,2260
18769,2260
18770,2260
18790,2260
18817,2260
18844,2260
18863,2260
18868,2260
18873,2260
18922,2260
18927,2260
18947,2260
18993,2260
18994,2260
19034,2260
19053,2260
19060,2260
19068,2260
19098,2260
19117,2260
19243,2260
19258,2260
19321,2260
19378,2260
19382,2260
19420,2260
19424,2260
19431,2260
19455,2260
19465,2260
19493,2260
19525,2260
19558,2260
19564,2260
19565,2260
19569,2260
19600,2260
19650,2260
19658,2260
19684,2260
19686,2260
19687,2260
19708,2260
19732,2260
19742,2260
19768,2260
19775,2260
19818,2260
19835,2260
19864,2260
19866,2260
19881,2260
19941,2260
19952,2260
19968,2260
19987,2260
20001,2260
20028,2260
20033,2260
20039,2260
20076,2260
20086,2260
20115,2260
20124,2260
20138,2260
20164,2260
20184,2260
20219,2260
20224,2260
20227,2260
20237,2260
20244,2260
20247,2260
20250,2260
20272,2260
20286,2260
20318,2260
20377,2260
20422,2260
20445,2260
20453,2260
20460,2260
20473,2260
20476,2260
20519,2260
20539,2260
20541,2260
20549,2260
20573,2260
20581,2260
20589,2260
20593,2260
20698,2260
20755,2260
20760,2260
20815,2260
20830,2260
20867,2260
20910,2260
20914,2260
20939,2260
20978,2260
20979,2260
20982,2260
21005,2260
21051,2260
21072,2260
21135,2260
21155,2260
21220,2260
21259,2260
21280,2260
21292,2260
21295,2260
21313,2260
21316,2260
21333,2260
21338,2260
21362,2260
21385,2260
21423,2260
21425,2260
21466,2260
21467,2260
21513,2260
21515,2260
21519,2260
21595,2260
21597,2260
21601,2260
21676,2260
21783,2260
21784,2260
21836,2260
21856,2260
21894,2260
21938,2260
21940,2260
21952,2260
21969,2260
22022,2260
22040,2260
22049,2260
22184,2260
22198,2260
22235,2260
22238,2260
22252,2260
22261,2260
22291,2260
22293,2260
22303,2260
22307,2260
22317,2260
22330,2260
22331,2260
22342,2260
22406,2260
22417,2260
22418,2260
22426,2260
22437,2260
22473,2260
22484,2260
22502,2260
22531,2260
22548,2260
22588,2260
22599,2260
22671,2260
22714,2260
22732,2260
22779,2260
22794,2260
22806,2260
22824,2260
22833,2260
22838,2260
22850,2260
22869,2260
22870,2260
22875,2260
22914,2260
22919,2260
22928,2260
22953,2260
22960,2260
22993,2260
23025,2260
23053,2260
23077,2260
23079,2260
23080,2260
23110,2260
23145,2260
23248,2260
23249,2260
23258,2260
23276,2260
23312,2260
23337,2260
23366,2260
23384,2260
23402,2260
23409,2260
23419,2260
23482,2260
23566,2260
23611,2260
23694,2260
23731,2260
23783,2260
23800,2260
23806,2260
23814,2260
23826,2260
23852,2260
23883,2260
23936,2260
23957,2260
24040,2260
24041,2260
24043,2260
24051,2260
24057,2260
24126,2260
24127,2260
24189,2260
24190,2260
24220,2260
24256,2260
24305,2260
24311,2260
24322,2260
24372,2260
24432,2260
24502,2260
24524,2260
24559,2260
24692,2260
24733,2260
24740,2260
24771,2260
24785,2260
24809,2260
24871,2260
24889,2260
24895,2260
24919,2260
24923,2260
24936,2260
25005,2260
25022,2260
25041,2260
25066,2260
25074,2260
25167,2260
25168,2260
25169,2260
25172,2260
25190,2260
25209,2260
25212,2260
25215,2260
25231,2260
25269,2260
25305,2260
25339,2260
25344,2260
25370,2260
25375,2260
25384,2260
25385,2260
25445,2260
25450,2260
25467,2260
25471,2260
25559,2260
25561,2260
25594,2260
25667,2260
25765,2260
25780,2260
25794,2260
25831,2260
25880,2260
25885,2260
25902,2260
25915,2260
25948,2260
26016,2260
26020,2260
26040,2260
26079,2260
26151,2260
26155,2260
26156,2260
26179,2260
26185,2260
26227,2260
26228,2260
26243,2260
26246,2260
26279,2260
26302,2260
26307,2260
26345,2260
26355,2260
26390,2260
26456,2260
26460,2260
26483,2260
26542,2260
26562,2260
26564,2260
26569,2260
26583,2260
26717,2260
26724,2260
26729,2260
26741,2260
26760,2260
26764,2260
26780,2260
26799,2260
26802,2260
26853,2260
26867,2260
26906,2260
26973,2260
26977,2260
27016,2260
27054,2260
27063,2260
27095,2260
27098,2260
27115,2260
27118,2260
27133,2260
27152,2260
27182,2260
27198,2260
27236,2260
27250,2260
27275,2260
27285,2260
27303,2260
27307,2260
27326,2260
27348,2260
27395,2260
27441,2260
27447,2260
27477,2260
27563,2260
27578,2260
27590,2260
27675,2260
27739,2260
27748,2260
27783,2260
27847,2260
27861,2260
27879,2260
27880,2260
27972,2260
27993,2260
28025,2260
28045,2260
28047,2260
28151,2260
28152,2260
28182,2260
28214,2260
28236,2260
28247,2260
28327,2260
28368,2260
28409,2260
28416,2260
28454,2260
28459,2260
28483,2260
28504,2260
28528,2260
28531,2260
28551,2260
28559,2260
28626,2260
28687,2260
28720,2260
28771,2260
28823,2260
28832,2260
28859,2260
28881,2260
28927,2260
28950,2260
28974,2260
28991,2260
29019,2260
29045,2260
29046,2260
29087,2260
29090,2260
29106,2260
29137,2260
29149,2260
29190,2260
29251,2260
29264,2260
29397,2260
29413,2260
29495,2260
29513,2260
29515,2260
29518,2260
29551,2260
29557,2260
29559,2260
29564,2260
29576,2260
29590,2260
29595,2260
29632,2260
29644,2260
29652,2260
29658,2260
29676,2260
29725,2260
29728,2260
29729,2260
29733,2260
29735,2260
29775,2260
29822,2260
29851,2260
29898,2260
29909,2260
29941,2260
29948,2260
29984,2260
29987,2260
29989,2260
29992,2260
30013,2260
30041,2260
30047,2260
30062,2260
30082,2260
30113,2260
30117,2260
30131,2260
30158,2260
30178,2260
30181,2260
30220,2260
30221,2260
30233,2260
30243,2260
30246,2260
30254,2260
30262,2260
30283,2260
30284,2260
30293,2260
30312,2260
30418,2260
30428,2260
30474,2260
30533,2260
30545,2260
30588,2260
30590,2260
30595,2260
30605,2260
30634,2260
30664,2260
30734,2260
30775,2260
30780,2260
30783,2260
30808,2260
30823,2260
30827,2260
30876,2260
30896,2260
30913,2260
30964,2260
31014,2260
31067,2260
31088,2260
31098,2260
31121,2260
31145,2260
31192,2260
31278,2260
31402,2260
31410,2260
31415,2260
31438,2260
31484,2260
31508,2260
31590,2260
31591,2260
31595,2260
31651,2260
31694,2260
31701,2260
31789,2260
31792,2260
31803,2260
31807,2260
31839,2260
31842,2260
31875,2260
31876,2260
31902,2260
31980,2260
31984,2260
31995,2260
32012,2260
32037,2260
32072,2260
32127,2260
32168,2260
32176,2260
32262,2260
32319,2260
32343,2260
32365,2260
32389,2260
7885,2261
15421,2261
429,2262
1272,2262
1925,2262
3641,2262
14894,2262
704,2263
802,2263
1026,2263
1956,2263
2260,2263
22307,2263
8210,2264
11427,2264
22881,2264
846,2265
25549,2266
31255,2266
589,2267
1355,2267
1481,2267
2037,2267
3366,2267
4198,2267
8405,2267
17474,2267
20174,2267
3294,2268
4028,2268
4401,2268
5221,2268
5879,2268
6133,2268
6227,2268
6401,2268
8197,2268
8242,2268
8343,2268
8953,2268
10774,2268
11178,2268
11582,2268
11590,2268
12048,2268
12704,2268
14081,2268
15222,2268
15233,2268
15527,2268
16729,2268
16820,2268
16930,2268
19283,2268
19557,2268
20733,2268
22987,2268
24446,2268
24649,2268
24734,2268
24925,2268
24943,2268
25809,2268
26322,2268
26727,2268
26900,2268
27576,2268
27676,2268
28183,2268
28271,2268
28958,2268
29225,2268
30300,2268
30637,2268
30885,2268
31133,2268
31194,2268
31684,2268
32292,2268
19563,2269
1261,2270
14224,2270
24988,2270
202,2271
470,2271
880,2271
19598,2271
21942,2271
27211,2271
29076,2271
8088,2272
3377,2273
3717,2273
4038,2273
6375,2273
6388,2273
6678,2273
6738,2273
7229,2273
7601,2273
7797,2273
8104,2273
8688,2273
8778,2273
9090,2273
9304,2273
11752,2273
11969,2273
12218,2273
12470,2273
13262,2273
14057,2273
14419,2273
14501,2273
15051,2273
15638,2273
15951,2273
15960,2273
16985,2273
17026,2273
18273,2273
19319,2273
19775,2273
20460,2273
21915,2273
22681,2273
22779,2273
22806,2273
24238,2273
24559,2273
25106,2273
25390,2273
25928,2273
27303,2273
27879,2273
29941,2273
30516,2273
30605,2273
31541,2273
31737,2273
10,2274
360,2274
997,2274
1047,2274
1852,2274
1330,2275
767,2276
21236,2276
2218,2277
8713,2277
29464,2277
2978,2278
7307,2278
7499,2278
9566,2278
12021,2278
12788,2278
14209,2278
15017,2278
16195,2278
19426,2278
21240,2278
21374,2278
21409,2278
23836,2278
30294,2278
1330,2279
20946,2279
28425,2279
1503,2280
662,2281
747,2281
10490,2281
13367,2281
15799,2281
23816,2281
704,2282
3892,2282
11170,2282
11413,2282
12949,2282
13337,2282
13432,2282
17217,2282
26760,2282
26856,2282
2375,2283
3039,2283
3372,2283
3470,2283
3658,2283
5840,2283
5859,2283
6108,2283
6227,2283
6537,2283
7627,2283
8420,2283
8747,2283
9550,2283
11347,2283
11931,2283
12965,2283
13032,2283
13691,2283
14378,2283
14668,2283
14749,2283
16444,2283
17966,2283
18371,2283
18487,2283
19283,2283
21152,2283
21742,2283
23253,2283
23856,2283
24446,2283
24783,2283
25084,2283
26037,2283
26798,2283
27593,2283
29113,2283
29647,2283
270,2284
851,2284
1089,2284
1338,2284
1586,2284
1637,2284
30913,2284
3301,2285
4419,2285
9724,2285
13090,2285
14772,2285
17612,2285
20738,2285
24880,2285
25213,2285
27297,2285
31940,2285
1817,2286
3361,2286
3474,2287
6704,2287
20320,2287
27823,2287
1154,2288
344,2289
3458,2289
14393,2289
19571,2289
21433,2289
22596,2289
29896,2289
571,2290
10993,2290
1572,2291
2868,2291
3130,2291
4746,2291
5237,2291
5552,2291
6479,2291
7090,2291
8532,2291
8734,2291
8764,2291
8805,2291
10989,2291
11084,2291
12456,2291
12735,2291
13014,2291
14273,2291
15674,2291
15964,2291
16511,2291
16857,2291
16870,2291
19768,2291
20644,2291
22780,2291
22863,2291
24071,2291
25471,2291
25660,2291
27789,2291
28325,2291
28804,2291
31568,2291
31807,2291
8306,2292
9832,2292
14349,2292
16358,2292
18221,2292
18454,2292
19036,2292
20875,2292
25186,2292
25389,2292
26519,2292
26611,2292
28958,2292
29214,2292
30222,2292
30379,2292
31541,2292
1728,2293
398,2294
3895,2294
4774,2294
8380,2294
16871,2294
25656,2294
28216,2294
445,2295
925,2295
1450,2295
107,2296
311,2296
604,2296
680,2296
4519,2296
11273,2296
12118,2296
18831,2296
20061,2296
27219,2296
28979,2296
445,2297
3919,2297
8206,2297
10056,2297
22464,2297
23198,2297
608,2298
732,2298
1158,2298
5253,2298
5397,2298
5489,2298
5531,2298
8852,2298
9675,2298
13891,2298
16678,2298
18159,2298
21335,2298
23566,2298
24733,2298
25132,2298
30475,2298
31112,2298
31779,2298
4710,2299
6068,2299
6566,2299
10812,2299
14270,2299
15638,2299
17787,2299
18646,2299
18754,2299
22448,2299
23782,2299
28047,2299
28142,2299
30408,2299
30808,2299
31494,2299
32072,2299
14734,2300
266,2301
1305,2301
1708,2301
1874,2301
2893,2301
11128,2301
14003,2301
15151,2301
17728,2301
18824,2301
21966,2301
22332,2301
23721,2301
23895,2301
28888,2301
767,2302
7881,2302
14099,2302
14398,2302
26690,2302
28872,2302
2457,2303
6408,2303
7653,2303
7947,2303
8693,2303
9156,2303
10013,2303
10382,2303
10804,2303
12606,2303
12878,2303
12936,2303
14675,2303
14877,2303
14971,2303
15296,2303
15810,2303
16021,2303
16383,2303
17249,2303
18048,2303
18920,2303
22456,2303
22487,2303
27448,2303
27513,2303
28377,2303
29650,2303
30610,2303
31004,2303
32128,2303
703,2304
2745,2304
2850,2304
7256,2304
8566,2304
11795,2304
15454,2304
17005,2304
17674,2304
18063,2304
18609,2304
18799,2304
18826,2304
20378,2304
21642,2304
22048,2304
22524,2304
22904,2304
23958,2304
25079,2304
25109,2304
27646,2304
30007,2304
30133,2304
4190,2305
4245,2305
4877,2305
4958,2305
5532,2305
5583,2305
6065,2305
8624,2305
8976,2305
9190,2305
9924,2305
10785,2305
13674,2305
17419,2305
18056,2305
19019,2305
19176,2305
19277,2305
24377,2305
25891,2305
25999,2305
27538,2305
27946,2305
29868,2305
30063,2305
30845,2305
440,2306
1276,2306
1576,2306
1789,2306
2331,2306
2525,2306
2902,2306
3793,2306
4057,2306
4676,2306
4910,2306
5554,2306
6052,2306
7168,2306
7226,2306
7243,2306
7570,2306
7690,2306
7724,2306
8045,2306
10649,2306
10813,2306
10854,2306
11251,2306
11485,2306
12390,2306
12769,2306
12957,2306
13536,2306
13876,2306
14219,2306
14453,2306
14541,2306
15167,2306
16210,2306
16396,2306
17243,2306
18096,2306
19103,2306
19237,2306
19447,2306
20152,2306
20645,2306
22876,2306
23222,2306
23327,2306
23397,2306
23703,2306
24098,2306
24208,2306
24209,2306
24362,2306
24381,2306
24696,2306
24881,2306
25218,2306
25392,2306
26103,2306
26468,2306
26770,2306
27659,2306
27785,2306
27852,2306
28044,2306
28345,2306
28507,2306
28566,2306
28659,2306
28702,2306
29142,2306
30628,2306
30843,2306
30933,2306
31183,2306
96,2307
5183,2308
5663,2308
7303,2308
24395,2308
29153,2308
863,2309
2260,2309
18232,2309
20242,2309
32284,2310
2260,2311
947,2312
1151,2312
1456,2312
1891,2312
6765,2312
11698,2312
13118,2312
15879,2312
19562,2312
1855,2313
11148,2313
11345,2313
20999,2314
144,2315
432,2315
926,2315
1292,2315
1457,2315
1850,2315
3655,2315
4291,2315
5495,2315
9040,2315
9856,2315
12301,2315
12303,2315
14800,2315
15191,2315
16682,2315
18413,2315
20541,2315
21671,2315
21941,2315
21964,2315
23690,2315
23945,2315
25646,2315
25657,2315
26604,2315
29175,2315
29604,2315
31460,2315
272,2316
25531,2316
28529,2316
31367,2316
492,2317
425,2318
12323,2318
12374,2318
18175,2318
28155,2318
31480,2318
2812,2319
3009,2319
4396,2319
4816,2319
4845,2319
4922,2319
5204,2319
5413,2319
6205,2319
6215,2319
8739,2319
9271,2319
10502,2319
10825,2319
10971,2319
11437,2319
12698,2319
13209,2319
13832,2319
15053,2319
15349,2319
15535,2319
15629,2319
16562,2319
18417,2319
19896,2319
19935,2319
21328,2319
22196,2319
22461,2319
23073,2319
23322,2319
24315,2319
25316,2319
25325,2319
25851,2319
26161,2319
26694,2319
28069,2319
28570,2319
29356,2319
29390,2319
29598,2319
30361,2319
30365,2319
30608,2319
30824,2319
31224,2319
32237,2319
767,2320
1686,2320
2554,2320
5464,2320
10501,2320
12639,2320
13196,2320
18468,2320
19863,2320
20486,2320
20869,2320
22406,2320
445,2321
925,2321
9306,2321
12111,2321
15574,2321
16129,2321
16453,2321
25664,2321
27979,2321
2260,2322
2507,2322
4034,2322
5212,2322
5238,2322
6261,2322
6545,2322
9528,2322
9640,2322
10067,2322
11180,2322
13262,2322
20178,2322
25377,2322
26581,2322
26589,2322
27945,2322
29192,2322
30516,2322
30605,2322
31411,2322
1735,2323
1989,2323
23389,2323
30528,2323
235,2324
26737,2325
492,2326
1078,2326
2138,2326
2260,2326
2346,2326
2658,2326
2774,2326
2976,2326
3284,2326
3322,2326
4038,2326
4230,2326
4670,2326
5635,2326
5804,2326
6173,2326
6319,2326
6388,2326
6669,2326
7301,2326
7339,2326
7435,2326
8815,2326
8827,2326
9121,2326
9793,2326
9979,2326
10202,2326
10906,2326
10973,2326
11138,2326
11432,2326
11811,2326
12818,2326
13262,2326
14834,2326
15111,2326
15472,2326
15518,2326
15580,2326
16138,2326
16338,2326
16492,2326
16985,2326
17060,2326
17711,2326
18040,2326
19286,2326
19319,2326
19385,2326
19485,2326
19774,2326
19897,2326
20091,2326
20560,2326
20600,2326
20952,2326
21601,2326
22170,2326
22437,2326
22569,2326
23027,2326
23852,2326
24504,2326
25212,2326
26764,2326
27406,2326
28142,2326
28755,2326
29081,2326
29606,2326
29689,2326
29948,2326
30934,2326
31411,2326
31655,2326
31701,2326
272,2327
1149,2327
1813,2327
1825,2327
2408,2327
28677,2327
1638,2328
3613,2328
6035,2328
6710,2328
9777,2328
10218,2328
11347,2328
13174,2328
13448,2328
15221,2328
15222,2328
15817,2328
20384,2328
23007,2328
26981,2328
27944,2328
29855,2328
8322,2329
17494,2329
22756,2329
304,2330
945,2330
2217,2330
2956,2330
5633,2330
6556,2330
7809,2330
8071,2330
8117,2330
13292,2330
13995,2330
15127,2330
19710,2330
20493,2330
20553,2330
20916,2330
24716,2330
26158,2330
26395,2330
29085,2330
29622,2330
29977,2330
30377,2330
30704,2330
1789,2331
2306,2331
3665,2331
4365,2331
5230,2331
6385,2331
8301,2331
10481,2331
11998,2331
14541,2331
16010,2331
19237,2331
21658,2331
23299,2331
25210,2331
25392,2331
26005,2331
27815,2331
445,2332
1375,2332
4923,2333
5367,2333
9760,2333
9913,2333
11099,2333
16163,2333
16476,2333
17967,2333
19381,2333
20725,2333
23107,2333
23625,2333
24395,2333
24994,2333
25207,2333
25258,2333
25635,2333
25739,2333
27680,2333
30416,2333
31262,2333
78,2334
860,2334
1629,2334
1782,2334
3054,2334
3987,2334
4088,2334
5010,2334
5296,2334
5445,2334
6162,2334
6941,2334
7464,2334
7477,2334
7652,2334
8941,2334
9204,2334
9398,2334
13206,2334
14683,2334
15350,2334
16730,2334
17543,2334
18118,2334
19533,2334
19807,2334
22325,2334
25320,2334
26298,2334
28060,2334
30593,2334
31273,2334
31348,2334
32139,2334
32322,2334
32117,2335
343,2336
541,2337
704,2337
919,2337
1540,2337
2176,2337
2260,2337
17281,2337
17576,2337
19420,2337
23695,2337
29585,2337
300,2338
395,2338
573,2338
3508,2338
4005,2338
4380,2338
5808,2338
7096,2338
7700,2338
11515,2338
11529,2338
12287,2338
19898,2338
20744,2338
21352,2338
22757,2338
22771,2338
23283,2338
23542,2338
25451,2338
25728,2338
25984,2338
26560,2338
26920,2338
28213,2338
28310,2338
28758,2338
30058,2338
31873,2338
16405,2339
991,2340
4342,2340
11175,2340
12894,2340
1234,2341
1350,2342
3226,2342
5158,2342
6283,2342
7020,2342
8786,2342
8948,2342
20027,2342
23389,2342
25632,2342
25635,2342
28995,2342
30564,2342
3880,2343
5534,2343
9073,2343
11413,2343
11926,2343
23430,2343
25589,2343
31470,2343
31530,2343
4272,2344
8306,2344
14852,2344
22569,2344
22953,2344
25026,2344
25389,2344
311,2345
1481,2346
2326,2346
5417,2346
6953,2346
8405,2346
10177,2346
13959,2346
14036,2346
15322,2346
18295,2346
19267,2346
19623,2346
20989,2346
22585,2346
23184,2346
23753,2346
23884,2346
26908,2346
30501,2346
31660,2346
1064,2347
1078,2347
1485,2347
3694,2347
4094,2347
4681,2347
5726,2347
6050,2347
6878,2347
6945,2347
6969,2347
7109,2347
10824,2347
11176,2347
12954,2347
14506,2347
14557,2347
17972,2347
18530,2347
19684,2347
19742,2347
19812,2347
21967,2347
22787,2347
22788,2347
24126,2347
24175,2347
25442,2347
26232,2347
26234,2347
27124,2347
32129,2347
11916,2348
12889,2348
13786,2348
15322,2348
17334,2348
17617,2348
22918,2348
